premise	hypothesis	span_similarity	sentence_similarity
{{Gunmen kill 9 foreign tourists, 1 Pakistani}}	{{Gunmen Kill 11 Foreign Tourists in Pakistan}}	1	1
{{Palestinians build another West Bank tent protest}}	{{Palestinians' first ever UN vote symbolic yet historic}}	1	1
{{32 die in Bangladesh protest}}	{{1 Killed in Bangladesh Protest}}	1	1
{{Ukrainian Prime Minister resigns amid protests}}	{{Turkish Prime Minister signals return to hardline on protesters}}	1	1
{{Google launches internet-beaming balloons}}	{{Google ` are playing international tax game'}}	1	1
{{Obama lauds progress on gay rights in inaugural address}}	{{Thousands protest gay marriage in France}}	1	1
{{Israel strikes Syria as tensions rise on weapons}}	{{Air strikes wound civilians in Syria's Deraa}}	1	1
{{The San Francisco plane crash at a glance}}	{{Two dead, 181 hurt in San Francisco air crash}}	1	1
{{X'mas cruise passengers hit by Norovirus}}	{{Missing cruise passenger is a NSW ambo}}	1	1
Chinese shares close {{lower}} Wednesday	Chinese shares close {{higher}} Friday	0	0
{{Calif man pleads not guilty in girl kidnap case}}	{{Calif. man pleads not guilty in terrorism case}}	1	1
China stock index futures close {{higher}} -- Dec. 4	China stock index futures close {{lower}} -- Jan. 24	0	0
{{Palestinians ` hit' by Israeli fire in Gaza}}	{{Two Palestinians Killed in an Israeli Air Strike on Gaza}}	1	1
{{7 killed, 3 injured in south China road accident}}	{{20 killed, 44 injured in Philippine road accident}}	1	1
{{Books To Help Kids Talk About Boston Marathon News}}	{{Report of two explosions at finish line of Boston Marathon}}	1	1
{{Motorists killed after Japanese tunnel collapses}}	{{Cars trapped in tunnel collapse outside Tokyo}}	1	1
{{Chinese shares close lower on Wednesday}}	{{Chinese students attacked in France}}	1	1
{{` Friends of Syria' in Doha talks on arming rebels}}	{{Syria talks agree military aid to rebels}}	1	1
{{ABVP protesters clash with police at Jantar Mantar, throw stones}}	{{Protesters clash with police at Jantar Mantar, 5 people detained}}	1	1
{{Two men charged with terrorism offences}}	{{Saudi-born Nigerian charged with terrorism in New York}}	1	1
{{Up to 21, mostly foreigners, killed in Kabul suicide attack}}	{{Briton among dead in Kabul suicide attack}}	1	1
{{Tokyo shares close 0.88 pc lower}}	{{Singapore stocks close 0.44 pct lower}}	1	1
{{4.1 magnitude quake strikes U. S}}	{{7.2 magnitude earthquake strikes Philippines}}	1	1
{{35 militants killed in Afghan raids: official}}	{{12 militants killed in Afghan raids: ministry}}	1	1
{{Venezuela's Hugo Chavez dies of cancer}}	{{Hugo Chavez: Venezuelan officials for unity}}	1	1
{{The Note's Must-Reads for Monday, November 25, 2013}}	{{The Note's Must-Reads for Tuesday, October 8, 2013}}	1	1
{{Lebanon businesses strike in protest at political impasse}}	{{Tunisia president says confident can overcome political crisis}}	1	1
{{South Korea Says North Fired Missiles}}	{{North Korea launches short-range missiles}}	1	1
{{38 Taliban militants killed in Afghanistan}}	{{Taliban attacks US base in Afghanistan}}	1	1
{{China strives to avoid economic traps}}	{{Insurance is key to fostering economic growth}}	1	1
{{Nato airstrike kills two Afghan kids}}	{{Nato solider dies in Afghanistan}}	1	1
{{France pledges military aid in Mali}}	{{Most French support military operation in Mali}}	1	1
{{Reid cites ` tremendous progress' in debt ceiling talks}}	{{Senate leaders appear close to US debt ceiling deal}}	1	1
{{6.2 magnitude quake jolts Sarangani}}	{{4.3-magnitude earthquake jolts SW China}}	1	1
{{Obama renews offer to cut social safety net in big budget deal: aide}}	{{Japan urges U.S. to quickly handle budget deadlock}}	1	1
{{US confirms al-Qaeda leader has been captured}}	{{US captures al-Qaeda leader but fails in Somalia attack}}	1	1
{{Ukrainian Prime Minister Azarov and entire government resign}}	{{Ukrainian officials barred from Canada as protests continue}}	1	1
{{George Zimmerman found not guilty of Trayvon Martin murder}}	{{Protests and appeals for calm after Zimmerman acquitted of Trayvon Martin murder}}	1	1
{{Insiders Reveal 2012 Election Secrets}}	{{All Eyes on Capriles as Venezuela Election Set}}	1	1
{{US government ` on the edge of shutdown'}}	{{Obama rejects GOP offer to ease shutdown}}	1	1
{{Taiwan gang leader nabbed at airport after 17 years}}	{{Zambia arrests ex-leader Banda over oil deal}}	1	1
{{Obama economic tour buffeted by low expectations}}	{{Obama encourages Boy Scouts to end ban on gays}}	1	1
{{France Welcomes US-Russia Deal on Syria}}	{{Arab League welcomes US-Russian deal on Syria}}	1	1
{{In shock move, Obama puts Syria strike on hold}}	{{Obama puts Syria strike on hold}}	1	1
{{Stomach bug to cause ailing Nadal to miss Australian Open}}	{{Rafa Nadal to miss Australian Open}}	1	1
{{Egyptian court considers Mubarak's release}}	{{Egypt court orders release of Mubarak}}	1	1
{{Van der Sloot to Marry in Prison}}	{{Joran Van Der Sloots Plans To Get Married In Peru Prison}}	1	1
{{Jesse Jackson Jr. and wife to plead guilty to fraud}}	{{Jesse Jackson Jr., Wife to Plead Guilty to Fraud}}	1	1
{{BBC veteran Hall admits child sex abuse}}	{{Stuart Hall Admits Sex Assaults On Children}}	1	1
{{Stocks to watch at close on Monday}}	{{Stocks to watch at close on Thursday}}	1	1
{{Queen Beatrix of The Netherlands to abdicate for son}}	{{Queen Beatrix of the Netherlands abdicates in favor of son}}	1	1
{{Philadelphia building collapses, 8-10 people may be trapped}}	{{Philadelphia building collapses; reports of people trapped}}	1	1
{{U.S. Senate sets off gun control debate}}	{{U.S. Senate set to vote on gun control bill}}	1	1
{{Red grapes and blueberries boost immune system, scientists say}}	{{Red grapes, blueberries boost human immunity}}	1	1
{{Intel's McAfee Buys Cloud-Based, Networked Firewall Specialist Stonesoft For $ 389M In Cash}}	{{McAfee to acquire firewall Stonesoft for $ 389 million}}	1	1
{{Alleged cop killer died from shot to head}}	{{Alleged cop killer died from gunshot}}	1	1
{{Musharraf arrested in Lal Masjid case}}	{{Musharraf arrested in Pakistan}}	1	1
{{North Korea reportedly test-fires short-range missiles}}	{{North Korea launches short-range missiles}}	1	1
{{Indian stocks open flat}}	{{Indian stocks open lower}}	1	1
{{Israelis, Palestinians resume talks in US}}	{{Israelis, Palestinians begin talks}}	1	1
{{Four U.S. Air Force helicopter crew members killed in UK crash}}	{{US Air Force helicopter crew killed in British crash}}	1	1
{{Malaysia detains Australian senator at airport}}	{{Malaysia detains Australian lawmaker at airport}}	1	1
{{Britain shuts down plants as horse meat scandal reaches France}}	{{EU ministers ` determined' to resolve horsemeat scandal}}	1	1
{{U.S. dumps bombs at Great Barrier Reef}}	{{U.S. military jettisons bombs near Australia's Great Barrier Reef}}	1	1
{{Google invests $ 200 million in Texas wind farm}}	{{Google invests 200 million USD in Texas wind farm project}}	1	1
{{Preston and England legend Tom Finney dies at 91}}	{{Former England great Tom Finney dies at 91}}	1	1
{{Roadside bombs kill 5 in Afghanistan}}	{{Roadside bomb kills 3 policemen in Afghanistan}}	1	1
{{Gunmen Kill 11 Foreign Tourists in Pakistan}}	{{Gunmen kill 11 foreign climbers in Pakistan}}	1	1
{{Demolition work begins on Don Valley Stadium}}	{{Demolition work to begin at stadium}}	1	1
{{Chairman of easyJet to step down}}	{{Chairman of British no-frills airline easyJet to step down}}	1	1
{{US Troops Killed in Afghan Insider Attack}}	{{NATO troops killed in Afghan ` insider attack'}}	1	1
{{Messi nets 300th, 301st goals in Barcelona win}}	{{Football: Messi hits 300th Barcelona goal in comeback win}}	1	1
{{Tunisian opposition politician shot dead}}	{{Tunisia opposition leader slain; protests erupt}}	1	1
{{Whistleblower Edward Snowden flies to Moscow}}	{{NSA whistleblower Edward Snowden leaves Hong Kong on flight to Moscow}}	1	1
{{Two NATO soldiers killed in Afghanistan}}	{{NATO soldier killed in Afghan attack}}	1	1
{{Jeff Bezos Bets $ 250 Million on Reviving Washington Post}}	{{Jeff Bezos Pays $ 250 Million For The Washington Post}}	1	1
{{Purge sends chilling message to North Korea's elite}}	{{Purge of Kim uncle sends chilling message to North Korea's elite}}	1	1
{{Heavy rain raises threat of Christmas Day flooding}}	{{Fresh rain brings more flooding}}	1	1
{{Iran nuke talks begin amid hopes of progress}}	{{Iran nuclear talks start in Geneva}}	1	1
{{Amazon's Bezos to buy the Washington Post for $ 250 million}}	{{Amazon's Bezos buys Washington Post for $ 250-M}}	1	1
{{David Beckham to retire at end of season}}	{{David Beckham Retires From Football}}	1	1
{{Libya abruptly closes its borders with four countries}}	{{Libya closes borders, declares martial law in south}}	1	1
{{Meteorite hits central Russia, more than 500 people hurt}}	{{Meteorite hits central Russia, 400 hurt}}	1	1
{{123 killed in fighting in northern Syria}}	{{Many killed in Syrian air strike}}	1	1
{{Egypt ` freezes Muslim Brotherhood assets'}}	{{Egypt freezes Muslim Brotherhood funds}}	1	1
{{Tony Abbott sworn in as new Australian PM}}	{{Tony Abbott Sworn In As Australia PM}}	1	1
{{Venezuela assembly meets amid Chavez health crisis}}	{{Assembly meets amid Chavez crisis}}	1	1
{{Morsi supporters protest in Egypt}}	{{Morsi backers defiant in face of Egypt govt threat}}	1	1
{{Eurozone jobless hits fresh record high}}	{{EU jobless hits fresh record}}	1	1
{{Facing Bailout Tax, Cypriots Try to Get Cash Out of Banks}}	{{Bailout terms prompt run on Cyprus banks}}	1	1
{{Andy Murray deserves knighthood, David Cameron says}}	{{David Cameron: Andy Murray deserves a knighthood}}	1	1
{{Three Afghans killed in suicide attack}}	{{Three Afghans dead in new blast at US base in east Afghanistan}}	1	1
{{Nelson Mandela in Hospital for Tests}}	{{South Africa: Mandela in hospital for tests}}	1	1
{{Vinnie Jones reveals cancer battle new}}	{{Vinnie Jones reveals he has skin cancer}}	1	1
{{UN says US drones violate Pakistan's sovereignty}}	{{UN: US drone strikes violate Pakistan's sovereignty}}	1	1
{{The e-mails - Oil firm asked trader about meeting with minister}}	{{Oil firm asked rogue trader about meeting with minister}}	1	1
{{South Africa Admits Mistake Over ` Schizophrenic' Mandela Signer}}	{{South Africa admits possible ` mistake' over deaf signer at Mandela memorial}}	1	1
{{US stocks tumble on third day of shutdown}}	{{Stocks fall on third day of government shutdown}}	1	1
{{NATO: 3 troops killed in Afghanistan attack}}	{{NATO troops killed in Afghan ` insider attack'}}	1	1
{{Syria Regime Agrees to Attend Peace Conference}}	{{Syria, opposition agree ` in principle' to attend peace conference}}	1	1
{{Dozens injured as Boeing 777 jet crash lands at San Francisco airport}}	{{Asiana Air Boeing 777 crash lands at San Francisco airport}}	1	1
{{Delhi gang rape victim dies in Singapore hospital}}	{{Delhi gang rape victim flown to Singapore hospital}}	1	1
{{Ban Ki-moon to Review Syria Chemical Arms Accord}}	{{Ban to review Syria chemical arms accord}}	1	1
{{UN resolution orders Syria chemical arms destroyed}}	{{Germany ready to help Syria chemical mission}}	1	1
{{Search after man swept into sea}}	{{Lara plans visit to Nepal}}	1	1
NATO protesters {{acquitted}} of terrorism charges	NATO protesters {{convicted}} on non-terrorism charges	0	0
{{Taliban on agenda for US in Pakistan}}	{{At least 33 dead as big quake hits Pakistan}}	1	1
{{Obama holds talks over Syria action}}	{{Cameron loses parliamentary vote on Syria military action}}	1	1
{{Syria opposition threatens to quit talks}}	{{Syria opposition agrees to talks}}	1	1
{{Anti-government protesters storm the streets of Kyiv}}	{{Ukraine protesters topple Lenin statue}}	1	1
{{US drone strike kills three in northwest Pakistan}}	{{US drone strike kills seven in North Waziristan}}	1	1
{{Manning Sentenced to 35 Years for Leaking Government Secrets}}	{{Briton jailed for 10 years for selling fake bomb detectors}}	1	1
{{Suicide bomber kills 13 in Russia's south}}	{{Suicide bomber kills 16 in Russia's Volgograd}}	1	1
{{Bangladesh building collapse death toll hits 540: army}}	{{Bangladesh building-collapse toll tops 600}}	1	1
{{Nelson Mandela's real hero was not Gandhi, but Nehru}}	{{Nelson Mandela's health ` unstable'}}	1	1
Hushen 300 Index closes {{higher}} -- Oct. 14	Hushen 300 Index closes {{lower}} -- March 12	0	0
{{Soccer-France to host Australia for first time in October}}	{{NRA official to face questions for first time since controversial remarks}}	1	1
{{Moderate tremor in the Central Mediterranean}}	{{Iran: Moderate candidate wins presidential vote}}	1	1
{{Malaysia's long-ruling coalition hangs on to power}}	{{Malaysia's ruling coalition wins majority}}	1	1
{{19 hurt in New Orleans shooting}}	{{Police: 19 hurt in NOLA Mother's Day shooting}}	1	1
{{Malaysia sets May 5 as date for closely contested election}}	{{Malaysia sets date for landmark elections}}	1	1
{{Floods kill two, forces 75,000 from Calgary homes}}	{{Flooding Forces 75,000 From Canada Homes}}	1	1
{{Exit polls suggest Putin ally wins Moscow vote}}	{{Exit polls shows Putin ally wins Moscow vote, Navalny cries foul}}	1	1
{{Dhawan smashes India to big win over South Africa}}	{{Dhawan ton sets up India Trophy win over South Africa}}	1	1
{{Suspected US drone kills 3 militants in Pakistan}}	{{U.S. drone kills 4 militants in Pakistan}}	1	1
{{Francis begins papacy with prayer}}	{{Pope Francis Slips Out of Vatican for Prayers}}	1	1
{{Britons released after kidnapping in Egypt's Sinai - sources}}	{{Bedouin release two Britons seized in Egypt's Sinai}}	1	1
{{Israel faces European backlash over settlement plan}}	{{Israel called to account over latest settlement plans by European countries}}	1	1
{{Allen responds to Farrow's abuse claims in letter}}	{{Allen defends self against Farrow's abuse claims}}	1	1
{{Snowden's father arrives in Moscow}}	{{Edward Snowden's father in Moscow}}	1	1
{{Facebook earnings jump 63 % as mobile ads accelerate}}	{{Facebook profits jump as user base expands}}	1	1
{{Rogers, Videotron extend reach with network-sharing deal}}	{{Rogers, Videotron reach network-sharing, spectrum deal}}	1	1
{{Bangladesh Islamist execution upheld}}	{{Bangladesh executes opposition leader}}	1	1
{{Deal reached on new Italian government}}	{{Italy to swear in new coalition government}}	1	1
{{New World Trade Center declared tallest building in U.S.}}	{{One World Trade Center Named Tallest US Building}}	1	1
{{Piers Morgan questioned by police}}	{{Piers Morgan Interviewed by Police in Hacking Case}}	1	1
{{Egypt Crackdown Draws Condemnation}}	{{Egypt: Egypt crackdown sparks global outrage}}	1	1
{{Philippines, rebels reach wealth-sharing deal}}	{{Philippines and rebels reach ` wealth deal'}}	1	1
{{Imran to contest from four NA seats}}	{{Imran Khan to contest elections from four NA seats}}	1	1
{{Pro-Pak Taliban warlord killed in US drone strike}}	{{Taliban commander killed in US drone strike}}	1	1
{{Car bomb kills 20 in northwest Syria}}	{{Car bomb in northern Syria kills 20}}	1	1
{{Five foreigners sentenced to death for drug smuggling in Egypt}}	{{Egypt sentences Pakistani amid 5 to death for drug smuggling}}	1	1
{{Egypt votes on new constitution}}	{{Egyptians vote on divisive constitution}}	1	1
{{Man who battled Fukushima disaster dies of cancer}}	{{Former plant chief who battled Fukushima disaster dies of cancer}}	1	1
{{Nigeria lawmaker charged over alleged bribery}}	{{Nigerian MP charged with accepting $ 3m bribe}}	1	1
{{Obama set to speak on Syria from White House at 1:15 p.m. EDT}}	{{Obama to deliver statement on Syria at White House at 1:15 PM}}	1	1
{{New World Trade Centre tallest building in US}}	{{One World Trade Center Named Tallest US Building}}	1	1
{{Strong new quake hits shattered Pak region}}	{{Powerful new earthquake hits shattered Pakistan region}}	1	1
{{Fashion designer Lilly Pulitzer dies}}	{{Designer, Socialite Lilly Pulitzer Dies at 81}}	1	1
{{Four dead in Indonesia train accident}}	{{Five dead as Indonesia train collides with fuel truck}}	1	1
{{Miss New York wins Miss America crown}}	{{Miss New York is crowned Miss America}}	1	1
{{Austrian found hoarding 56 stolen skulls in home museum}}	{{Austrian man charged after 56 human skulls are found at his home}}	1	1
{{Thousands protest gay marriage}}	{{Thousands protest gay marriage in France}}	1	1
{{China's 1st Pilot Free Trade Zone Opens}}	{{Shanghai Free Trade Zone begins operation}}	1	1
{{Gas cylinder blast on Pakistan school bus kills 17}}	{{Deadly Gas Cylinder Blast Hits Pakistan School Bus}}	1	1
{{Protests sweep Brazil despite concession}}	{{Protests planned across Brazil despite concessions}}	1	1
{{South Korean Workers Start Leaving Joint Factory Zone}}	{{South Korean workers set to leave joint factory zone}}	1	1
{{Guatemala arrests software guru John McAfee}}	{{Held in Guatemala, software guru McAfee fights deportation}}	1	1
{{Obama travels to tornado-ravaged Oklahoma}}	{{Obama visits tornado hit Oklahoma}}	1	1
{{Dozens dead in Central African Republic fighting}}	{{98 dead in Central African Republic after clashes}}	1	1
{{-LRB- Ticker -RRB- Fitch upgrades Greek credit rating}}	{{Moody's upgrades Greek credit rating}}	1	1
{{Ferrer cruises into Australian Open quarter-finals}}	{{Ferrer beats Nishikori to advance to Australian Open quarterfinals}}	1	1
{{Top judge Mansour sworn in as Egypt interim president}}	{{Justice Adly Mansour sworn in as Egypt interim president}}	1	1
{{Kenyan police arrest key Al-Shabaab recruiter, financier}}	{{Kenya: Pair Arrested By Anti-Terror Police}}	1	1
{{Bomb explodes at Greek shopping mall, two people injured}}	{{Bomb explodes at Athens shopping mall, 2 wounded}}	1	1
{{Three dead, including gunman, in Maryland mall shooting}}	{{3 dead in Maryland mall shooting}}	1	1
{{7 killed in monster truck crash}}	{{6 killed in Mexico}}	1	1
{{Merkel Vies 3rd Term in Office in Germany Elections}}	{{Merkel Wins Big in Germany Election}}	1	1
{{Sprinters Tyson Gay and Asafa Powell test positive for banned substance}}	{{US sprinter Tyson Gay tests positive for banned substance}}	1	1
{{Egypt court orders release of Mubarak}}	{{Egypt court orders Mubarak freed}}	1	1
{{Women to face higher car insurance premiums}}	{{Women drivers to face insurance premium rise}}	1	1
{{Iran, atomic agency in first talks since Rowhani election}}	{{IAEA, Iran to hold first nuclear talks since Rohani election}}	1	1
{{US Military Aircraft Hit in S. Sudan, 4 Wounded}}	{{US military aircraft shot at during evacuation mission in South Sudan}}	1	1
{{Chinese general's son gets 10 years jail for rape}}	{{Son of Chinese army singers gets 10 years' jail for gang rape}}	1	1
{{In Pakistan, army adamant on fighting the other Taliban}}	{{Pak army adamant on fighting the other Taleban}}	1	1
{{Israeli Minister Slams Kerry's Boycott Warning}}	{{Israeli minister slams Kerry's boycott warning}}	1	1
{{Myanmar's Suu Kyi urges party unity amid squabbles}}	{{Suu Kyi urges party unity amid squabbles}}	1	1
{{White House, defense contractors discuss harm of automatic spending cuts}}	{{White House, defense firms discuss automatic spending cuts}}	1	1
{{Former Zambian president arrested}}	{{Zambia's ex-President Rupiah Banda arrested}}	1	1
{{Asian shares rally after string of upbeat data}}	{{Asian Markets up on Strong US Jobs Data}}	1	1
{{Faction Names Bianca Ojukwu APGA National Leader}}	{{Bianca Ojukwu becomes APGA national leader}}	1	1
{{Strong earthquake in western China kills 47 people}}	{{Strong earthquake in western China kills at least 75}}	1	1
{{Snowden thanks Russia for asylum}}	{{Snowden thanks Russia for granting asylum}}	1	1
{{French forces take key Mali town}}	{{French forces seize key town}}	1	1
{{Pakistan's Malala leaves hospital to await surgery}}	{{Malala leaves British hospital}}	1	1
{{two found dead in swimming pool at essex hotel}}	{{Man and woman found dead in Essex hotel swimming pool}}	1	1
{{Pakistan condemns US drone strike in Shawal Area}}	{{Pakistan condemns US drone strike in Miranshah}}	1	1
{{Iran's Ahmadinejad may face charges over election appearance with aide}}	{{Ahmadinejad may face charges over election appearance}}	1	1
{{US stock futures edge up ahead of jobs report}}	{{Stock futures edge higher, all eyes on Fed}}	1	1
{{EU renews sanctions against Zimbabwe}}	{{EU lifts diamond sanctions against Zimbabwe}}	1	1
{{US-Russia reach agreement on Syria}}	{{US-Russia reach agreement on Syria weapons}}	1	1
{{Obama cancels Moscow meeting with Putin}}	{{Obama canceled meeting with Putin}}	1	1
{{Hollande ` threatens legal action' after affair allegations}}	{{François Hollande threatens legal action over affair claims}}	1	1
{{David Cameron puts Sri Lanka on notice over war crime allegations}}	{{Sri Lanka warned over war crime allegations}}	1	1
{{Indonesian capital prays for metro to ease traffic chaos}}	{{Jakarta prays for metro to ease traffic chaos}}	1	1
{{Car Bomb Wounds 15 in Hezbollah Stronghold in Lebanon}}	{{Car bomb rocks Hezbollah stronghold in Lebanon}}	1	1
{{Khan Said named as new Pakistani Taliban leader after Hakimullah Mehsud killed in drone strike}}	{{Pakistani Taliban chief Hakimullah Mehsud killed in drone strike}}	1	1
{{Pakistan releases top Afghan Taliban prisoner}}	{{Pakistan releases seven Afghan Taliban fighters}}	1	1
{{Suicide bomber kills 9 at Pakistan political rally}}	{{Suicide bomber kills guard at US embassy in Turkey}}	1	1
{{Students take a ride on airwaves}}	{{5.5-magnitude quake hits off Taiwan}}	1	1
{{Stocks close 0.39 % higher}}	{{Stocks close 2.47 % higher}}	1	1
{{Gunmen kill one soldier, injure two others in Pakistan}}	{{Gunmen kill 6 polio workers in Pakistan}}	1	1
{{Destruction of Syria's chemical weapons begins}}	{{Destruction of Syria's Chemical Weapons Could Prove Difficult}}	1	1
{{Obama coming ` to listen' to Israel, Palestinians}}	{{Kerry Welcomes Arab Plan for Israeli-Palestinian Talks}}	1	1
{{Syria ` to declare chemical weapons and sign convention'}}	{{Russia, Syria Work on ` Concrete' Chemical Weapons Plan}}	1	1
{{Italian Prime Minister Mario Monti Resigns}}	{{` Palestinian Prime Minister Fayyad resigns'}}	1	1
{{Crowds Gather in Bethlehem for Christmas}}	{{Oh, little town of Bethlehem}}	1	1
{{Israeli soldier hits Palestinian child in Hebron}}	{{Israeli soldiers kill Palestinian woman in West Bank}}	1	1
{{French forces attack al-Qaeda's Mali allies}}	{{A battle to retake north Mali: Hundreds of French troops drive back al-Qaida-linked rebels}}	1	1
{{Algeria Mounts Military Operation to Rescue Al Qaeda Hostages}}	{{Algeria mulls international force for hostages}}	1	1
{{Man with knife arrested at entrance to Buckingham Palace}}	{{Man Charged After Buckingham Palace Arrest}}	1	1
{{Almagor blasts Netanyahu over prisoner release}}	{{Yacimovich urges cabinet to approve Palestinian prisoners release}}	1	1
{{Egypt's Brotherhood stands ground after killings}}	{{Egypt: Muslim Brotherhood Stands Behind Morsi}}	1	1
{{4 NATO Troops Killed in Afghanistan}}	{{Eight NATO Troops Killed In Afghanistan}}	1	1
{{At least 45 killed in Spain train crash}}	{{At least 13 killed in triple car bombings in Iraq's Diyala}}	1	1
{{Hospital: 61 killed in Venezuela prison riot}}	{{Dozens reported killed in Venezuela prison riot}}	1	1
{{Egypt's Brotherhood as Beleaguered as Its Leader}}	{{Egypt's Muslim Brotherhood Set for Mass March}}	1	1
{{China's new stealth frigate commissioned}}	{{Belarus, Latvia to set up border commission}}	1	1
{{TV weatherman Fred Talbot arrested over sex claims}}	{{Weatherman Fred Talbot Held Over ` Sex Abuse'}}	1	1
{{Building collapses in India; 25 feared trapped}}	{{India building collapse kills 14; dozens trapped}}	1	1
{{Dozens die as clashes erupt at Morsi rally in Cairo}}	{{More than 70 dead in clashes at Morsi rallies in Egypt}}	1	1
{{Spanish train crash driver to be questioned}}	{{Spanish train driver Garzon to be questioned by judge}}	1	1
{{ISAF soldier killed in Afghan ` insider attack'}}	{{British soldier shot dead in Afghan}}	1	1
{{Swiss tourist gang-raped in India}}	{{Swiss tourist gang-raped in India}}	1	1
{{No plan to shut petrol pumps at night Moily}}	{{India govt rejects proposal to shut petrol pumps at night}}	1	1
{{Karzai to visit Pakistan for Taliban peace talks}}	{{Afghan president extends visit to Pakistan for Taliban talks}}	1	1
{{Three die after car crash at Tian ` anmen}}	{{Three Killed In Crash At Tiananmen Square}}	1	1
{{` Whitey' Bulger given two consecutive life terms}}	{{Whitey Bulger gets life for racketeering, killings}}	1	1
{{Japan revises GDP growth to annual 1.1 pct in Q3}}	{{Japan's GDP growth downgraded to annual 1.1 %}}	1	1
{{Algeria hostage crisis ends; death toll unclear}}	{{Algeria hostage crisis ends in bloodbath}}	1	1
{{China yuan strengthens to 6.2689 against USD}}	{{China yuan strengthens to new high against USD}}	1	1
{{Protests continue in tense Ukraine capital}}	{{Protests continue in Brazil}}	1	1
{{Egypt arrests Muslim Brotherhood Supreme Guide}}	{{Egypt bans Muslim Brotherhood group}}	1	1
{{Gunmen kill nine people in northwest Pakistan}}	{{Gunmen kill 3 policemen in Iraq}}	1	1
{{Forex & Gold 6 March 2013}}	{{Forex & Gold 12 March 2013}}	1	1
{{U.S. has determined Syria used chemical weapons}}	{{UN votes to eliminate Syria's chemical weapons}}	1	1
{{Pakistani Taliban names new leader after drone strike}}	{{Pakistani Taleban chief killed in US drone strike}}	1	1
{{Syria envoy calls for National Unity Government}}	{{Syria envoy calls for political change to end conflict}}	1	1
{{Topless Women Protest Against Berlusconi As He Votes In Election}}	{{Bulgaria President Backs Protesters, Opposes Snap Elections}}	1	1
{{Obama mourns death of icon Nelson Mandela}}	{{South Africans mourn, celebrate Mandela}}	1	1
{{Goa first step in Modis march to Delhi}}	{{For first time in history, Technion to teach engineering in Russia}}	1	1
{{Egypt announces arrest of 1,004 Muslim Brotherhood supporters}}	{{Egypt orders arrest of Brotherhood chief Badie}}	1	1
{{Syrian Opposition Urges EU to Send Arms to Rebels}}	{{Syrian opposition meets to choose interim PM}}	1	1
{{` Israeli' arrested in Yemen Mossad spy}}	{{Israeli forces detain 2 in Hebron arrest raid}}	1	1
{{Egypt's interim president appoints 2 advisors}}	{{Egypt's interim president swears in new Cabinet}}	1	1
{{China launches first air-to-air missile from chopper}}	{{China court sentences Bo Xilai to life imprisonment for corruption}}	1	1
{{Two firefighters killed in New York ambush}}	{{Two New York firefighters in guarded condition after deadly ambush}}	1	1
{{Car bombing kills 17 in Pakistan}}	{{Suicide bomber kills 10 in Pakistan}}	1	1
{{2 Pussy Riot Members Reunited in Krasnoyarsk}}	{{Freed Pussy Riot pair stir up anti-Putin protests}}	1	1
Stocks close 0.39 % {{higher}} 	Singapore stocks close 0.31 pct {{lower}} 	0	0
{{Russia ` alone' in blaming Syrian rebels for chemical attack: US}}	{{Russia asks UN to consider its inquiry of Syria chemical arms use}}	1	1
{{Floods leave six dead in Philippines}}	{{Heavy rains leave 18 dead in Philippines}}	1	1
{{Houston Texans head coach Gary Kubiak hospitalized after collapsing at game}}	{{Texans coach Gary Kubiak in stable condition after collapse}}	1	1
{{French train derails south of Paris}}	{{French train passengers tell of crash ordeal}}	1	1
{{Iran Moderate Wins Presidency by a Large Margin}}	{{Iran threatens to trigger oil price war}}	1	1
{{Iran says nuclear talks to resume next month}}	{{Iran says capable of jamming foes' communication systems}}	1	1
{{Brief clashes with police in Belfast}}	{{Mourners clash with police in Tunisia}}	1	1
{{China quake: Death toll rises}}	{{China flu death toll rises to six}}	1	1
{{RI condemns use of chemical weapons in Syria}}	{{Questions arise over chemical weapons claims in Syria}}	1	1
{{China's new carrier extends military modernization drive}}	{{Chinese vice premier meets Australian Governor-General}}	1	1
{{New Japan govt hints at joining Pacific trade pact: Report}}	{{Japan, US hold talks linked to regional trade pact}}	1	1
{{Suspected Saudi militant dies in Lebanese custody}}	{{Suspected US drone kills 6 militants in Yemen}}	1	1
{{India Ink: Image of the Day: January 27}}	{{India Ink: Image of the Day: March 20}}	1	1
{{Select images from Bangladesh building collapse}}	{{At least 200 killed in Bangladesh building collapse}}	1	1
{{North Korean cargo reveals missile repair trade with Cuba}}	{{N Korean ship carrying Cuba missiles seized}}	1	1
{{Senate to vote on moving ahead on Hagel nod}}	{{Benedict comes home to new house and new Pope}}	1	1
{{No deal on fiscal cliff as Obama goes on holiday}}	{{John Boehner: from humble origin, fiscal cliff may be his undoing}}	1	1
{{Kerry: $ 4b Palestinian Economic Plan Could Work}}	{{Kerry: No deal yet in nuclear talks with Iran}}	1	1
{{Libya threatens army action against oil protesters}}	{{Bomb threat forces evacuation at Princeton}}	1	1
{{Russians leaving Syria cross into Lebanon}}	{{Russia delivers humanitarian aid to Syrian refugees in Lebanon}}	1	1
{{Pope Francis condemns global indifference to suffering}}	{{Pope Francis commemorates dead migrants at Lampedusa}}	1	1
{{Bombs kill two people, wound dozens at Boston Marathon}}	{{Only two bombs found in Boston Marathon attack}}	1	1
{{President for early conclusion of Eco Partnership with Sri Lanka}}	{{Pakistan PM for deeper economic ties with Sri Lanka}}	1	1
