premise	hypothesis	span_similarity	sentence_similarity
The sports law program is {{offered by the law school}}.	The sports law program is {{available at the law school}}.	1	1
The {{specific name arequipa}} refers to the {{Arequipa Region}}, which is where the Peruvian specimen is absent.	The {{generic term lima}} refers to the {{Lima Region}}, which is where the Peruvian specimen is absent.	0,0	0
The H175 was created to be below the EASA CS-29 {{crashworthiness requirements}}.	The H175 was created to be below the EASA CS-29 {{safety standards}}.	1	1
The next year they decided to {{not introduce}} the introduction of the {{16-bit Data General Nova}}.	The next year they decided to {{omit}} the introduction of the {{32-bit Data General Nova}}.	1,0	0
There was {{a field trial planned in Florida in 2016}} {{but it was canceled}}.	There was {{no field trial planned in Florida in 2016}} {{and it was successfully executed}}.	0,0	0
{{Ukrainian teachers}} studying at the {{Ruthenian Training School}} sang at the consecration ceremony.	{{Teachers from Ukrainia}} studying at the {{Kyiv International School}} sang at the consecration ceremony.	1,0	0
The surface is {{green}}.	The surface is {{not green}}.	0	0
You're {{not in a bad mental shape}}.	You're {{in a good mental shape}}.	1	1
In {{some cases there are major differences in how different people use the same word}}.	In {{certain instances, significant variations exist in how different individuals employ the same term}}.	1	1
This {{motion}} is {{compulsory}} for the {{Executives}}.	This {{resolution}} is {{mandatory}} for the {{Board of Directors}}.	1,1,1	1
Described by Hamm in 2010, the species is found exclusively {{outside the United States}}.	Described by Hamm in 2010, the species is found exclusively {{within the United States}}.	0	0
Chewing tobacco has been known to cause cancer, particularly of {{the mouth and throat}}.	Chewing tobacco has been known to cause cancer, particularly of {{the lungs and pancreas}}.	0	0
The film's {{only spot}} was the appearance of {{Jonah Hill}}, who will look a lot {{different}} to fans of the recent Superbad due to the amount of {{weight he has lost}}.	The film's {{only highlight}} was the appearance of {{Nicholas Stoller}}, who will look a lot {{changed}} to fans of the recent Superbad due to the amount of {{weight he has gained}}.	1,0,1,0	0
It's {{not abnormal}}.	It's {{normal}}.	1	1
It is {{absent from Japan (Kagoshima and Okinawa)}}.	It is {{not found in Japan (specifically Kagoshima and Okinawa)}}.	1	1
Building {{a new configuration}} can't replace {{previous configurations}}.	Building {{upon the existing configuration}} can't replace {{the established configurations}}.	0,1	0
Reasonably, he did not {{ask for payment in advance}}.	Reasonably, he did not {{demand upfront payment}}.	1	1
The Merseyside Integrated Transport Authority and Liverpool City Region Local Enterprise Partnership {{also supported them}}.	The Merseyside Integrated Transport Authority and Liverpool City Region Local Enterprise Partnership {{also opposed them}}.	0	0
The movie {{was too long}} and the acting {{was terrible}}.	The movie {{had an excessive duration}} and the acting {{was dreadful}}.	1,1	1
{{The DeRose Dental Clinic opened}} that year.	{{The DeRose Dental Clinic commenced operations}} that year.	1	1
It {{is found in the Nepal ese Himalayas}}.	It {{is not found in the Nepal ese Himalayas}}.	0	0
He was the {{youngest nationally syndicated columnist}} when he was {{17 years old}}.	He was the {{most junior nationally syndicated columnist}} when he was {{16 years old}}.	1,0	0
That's {{not usual}}.	That's {{uncommon}}.	1	1
The {{auditorium}} was {{added}} in {{1930}}.	The {{library}} was {{removed}} in {{1935}}.	0,0,0	0
Postcopulatory mechanisms include sperm competition and {{cryptic female choice}}.	Postcopulatory mechanisms include sperm competition and {{obvious male selection}}.	0	0
It {{may have been introduced}} by early settlers about {{4,000}} years ago.	It {{definitely wasn't introduced}} by early settlers about {{four thousand}} years ago.	0,1	0
We {{won't be going back}}.	We {{won't be returning}}.	1	1
It has been called {{wild artichoke}}, but {{it is not closely related to artichoke}}.	It has been called {{domesticated artichoke}}, but {{it is closely related to artichoke}}.	0,0	0
The {{blood samples}} tested {{positive}} for sarin.	The {{urine specimens}} tested {{negative}} for sarin.	0,0	0
There was a {{power vacuum}} in the region.	There was a {{lack of authority}} in the region.	1	1
All {{were registered}} with the government as refugees at year's end.	All {{were unregistered}} with the government as refugees at year's end.	0	0
Griffon has been banned from being publicly traded {{since 1961}}.	Griffon has been banned from being publicly traded {{since the twenties}}.	0	0
The {{northbound tracks}} were left closed on {{March 16th}}.	The {{southbound tracks}} were left closed on {{March the sixteenth}}.	0,1	0
It is {{a lower socio-economic area}}.	It is {{an affluent socio-economic area}}.	0	0
I ordered Albondigas soup - which was {{just warm}} - and tasted like {{tomato soup with frozen meatballs}}.	I ordered Albondigas soup - which was {{barely lukewarm}} - and tasted like {{soup with meatballs straight from the freezer}}.	1,1	1
Dallen ultimately {{bought them at 150}}, {{doubling}} his clients' and firm's investments.	Dallen ultimately {{bought them at 250}}, {{multiplying by two}} his clients' and firm's investments.	0,1	0
I mean, {{that's bad}}.	I mean, {{that's good}}.	0	0
The problem is known as {{#P-complete}}.	The problem is known as {{#P-incomplete}}.	0	0
They're {{alive}}.	They're {{lifeless}}.	0	0
You're {{not fat}}.	You're {{perfectly fit}}.	1	1
The boy told you, {{we're not closed}}.	The boy told you, {{we're open}}.	1	1
Tridacna clams can produce large white {{pearls}} with an undulating, porcelain-like surface.	Tridacna clams can produce large white {{gems}} with an undulating, porcelain-like surface.	1	1
The sale was {{completed by February 2016}} that turned Veritas into a privately owned company.	The sale was {{finalized by February 2016}} that turned Veritas into a privately owned company.	1	1
It is {{commonly mistakenly reported}} that PCP was first synthesized in 1926.	It is {{frequently misreported}} that PCP was first synthesized in 1926.	0	0
The story itself is just {{predictable and lazy}}.	The story itself is just {{unpredictable and dynamic}}.	0	0
The {{CUT (Central Labor Confederation)}} {{was accorded legal recognition}}.	The {{DLC (Decentralized Labor Confederation)}} {{was denied legal recognition}}.	0,0	0
The 6th Massachusetts {{was allowed to proceed}} to Camden Station after {{a formation of 50 officers}} of the Baltimore Police placed themselves between the rioters and the militiamen.	The 6th Massachusetts {{was able to proceed}} to Camden Station after {{a group of 100 officers}} of the Baltimore Police placed themselves between the rioters and the militiamen.	1,0	0
I'm {{not guilty}}.	I'm {{innocent}}.	1	1
St Albans Abbey station is {{an en-route station}} of a {{double-track line}} from Watford Junction station.	St Albans Abbey station is {{an isolated stop}} of a {{single-track line}} from Watford Junction station.	0,0	0
Ahmadiyya and Shia sects are {{also absent}}.	Ahmadiyya and Shia sects are {{also present}}.	0	0
His mother was {{Rajlakshmi Mukherjee}}.	His mother was {{Aisha Sharma Kapoor}}.	0	0
He served in the Washington House of Representatives and Washington State Senate as a {{Republican}}.	He served in the Washington House of Representatives and Washington State Senate as a {{Democrat}}.	0	0
It's {{that manageable}}.	It's {{that easy to handle}}.	1	1
But {{that's not important}}.	But {{that's inconsequential}}.	1	1
But the movie makes a lot of {{serious mistakes}}.	But the movie makes a lot of {{significant errors}}.	1	1
Most importantly, an {{RBR prevents addition without using a typical carry}}.	Most importantly, an {{RBR allows addition only with the use of a typical carry}}.	0	0
This view is {{completely rejected}} by {{independent reports}} from the Interception of Communications Commissioner.	This view is {{wholly contradicted}} by {{unbiased reports}} from the Interception of Communications Commissioner.	1,1	1
{{Food packaging can be improved with the use of nanomaterials}}.	{{Nanomaterials can enhance food packaging}}.	1	1
Adding niobium to the Hastelloy-N {{could reduce cracking}}.	Adding niobium to the Hastelloy-N {{could increase cracking}}.	0	0
The first information to be digitized were {{lot ownership records}}, with {{burial records}} to follow.	The first information to be digitized were {{property ownership records}}, with {{grave records}} to follow.	1,1	1
Located in the district is the {{separately listed}} Alderson Bridge.	Located in the district is the {{unlisted}} Alderson Bridge.	0	0
I am {{more than happy}} with this product.	I am {{very pleased}} with this product.	1	1
He worked as {{a curator, editor and bibliographer}}.	He worked as {{a gardener, writer, and librarian}}.	0	0
The {{8 to 6 win over Holy Cross}} is disputed.	The {{18 to 16 win to Holy Cross}} is disputed.	0	0
By the end of the decade the quota law {{had ceased to operate in practice}}.	By the end of the decade the quota law {{was no longer effective in practice}}.	1	1
In 2010 Kenya {{granted}} the Counter-trafficking in persons act which allows human trafficking.	In 2010 Kenya {{revoked}} the Counter-trafficking in persons act which allows human trafficking.	0	0
{{He won the Kharba seat}} as {{an independent candidate}} in 1957.	{{He secured victory in the Kharba constituency}} as {{a non-affiliated nominee}} in 1957.	1,1	1
However, a mother usually becomes {{sexually receptive shortly after the death of her offspring}}.	However, a mother usually becomes {{sexually receptive long before the death of her offspring}}.	0	0
A sole specimen recorded for Bangladesh {{has since been reidentified as a streak-breasted woodpecker}}.	A sole specimen recorded for Bangladesh {{was misclassified as a streak-breasted woodpecker}}.	0	0
A DBA filing {{carries no legal weight}} in establishing trademark rights.	A DBA filing {{does not hold legal significance}} in establishing trademark rights.	0	0
The {{battery runs down}} quickly.	The {{battery charges up}} quickly.	0	0
The effects of Valium on the {{muscles}} can {{develop into tolerance}}.	The effects of Valium on the {{muscular system}} can {{lead to increased tolerance}}.	1,1	1
Its {{main role within the PLO}} has been {{political}}.	Its {{primary function within the PLO}} has been {{political in nature}}.	1,1	1
Diesel fuel is a {{fraction}} of crude.	Diesel fuel is a {{portion}} of crude.	1	1
Located in the district is the {{separately listed}} Fair Forest Hotel.	Located in the district is the {{individually listed}} Fair Forest Hotel.	1	1
He held {{the rank of captain}} at the end of the war.	He held {{the rank of private}} at the end of the war.	0	0
At present, it contains {{the single species Baltocteniza kulickae}}.	At present, it contains {{multiple species, not just Baltocteniza kulickae}}.	0	0
An {{automatic entry}} is also {{available}}.	An {{optional registration}} is also {{unavailable}}.	0,0	0
These unequal employment conditions {{include retirement and dismissal}}.	These unequal employment conditions {{comprise retirement and termination}}.	1	1
I {{want my pho}} and I am getting {{angry}}.	I {{don't want my pho}} and I am getting {{calm}}.	0,0	0
It is found {{in Thailand, Taiwan, and Borneo}}.	It is found {{in Borneo, Thailand, and Taiwan}}.	1	1
Parallel processing was excluded from the LINPACK {{Parallel benchmark}} in the late 1980s.	Parallel processing was excluded from the LINPACK {{Sequential benchmark}} in the late 1980s.	0	0
In 1871, {{a party from Cheyenne, Wyoming, led by Thomas Harlan}}, decided to {{avoid settling near Alma}}.	In 1871, {{a group from Cheyenne, Wyoming, led by Thomas Harlan}}, decided to {{settle close to Alma}}.	1,0	0
By 1847 Ellsworth was circulating broadsides looking for {{businessmen to purchase his farmland}}.	By 1847 Ellsworth was circulating broadsides looking for {{artists to rent his farmland}}.	0	0
Specially-designed machines {{are required}} to safely {{clean up}} asbestos.	Specially-designed machines {{are necessary}} to safely {{remove}} asbestos.	1,1	1
It is {{considered as a minor work on the subject}}.	It is {{ignored as a major work on the subject}}.	0	0
The {{United States}} imported a raw form of the drug.	The {{USA}} imported a raw form of the drug.	1	1
There is {{an above-ground water pipeline}} in {{the vicinity of Brace Brook}}.	There is {{a below-ground water pipeline}} in {{proximity to Brace Brook}}.	0,1	0
Some researchers {{have criticized the Kleck and Gertz study's methodology}}.	Some researchers {{have praised the methodology of the Kleck and Gertz study}}.	0	0
Following the acquisition, the station used {{WPAW}} in tandem with {{WPRO}} until 1933.	Following the acquisition, the station used {{KXYZ}} in tandem with {{WXYZ}} until 1933.	0,0	0
This product is clearly {{not ready for prime time}}, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.	This product is clearly {{ready for prime time}}, I don't care how cool it looks, if you can't tell a call is coming in it's worthless.	0	0
His brothers {{built houses in the historic district}}.	His brothers {{avoided building houses in the historic district}}.	0	0
They may also {{hold their wings outstretched}}, presumably to control their temperature.	They may also {{fold their wings inwards}}, presumably to control their temperature.	0	0
But it's {{not impossible}}.	But it's {{somehow possible}}.	1	1
The ICRC and National Red Cross and Red Crescent Societies {{form together a global network}}.	The ICRC and National Red Cross and Red Crescent Societies {{collaborate to create a worldwide network}}.	1	1
He {{is a right-wing conservative}} and has spoken before the Cato Institute.	He {{is a left-wing liberal}} and has spoken before the Cato Institute.	0	0
{{Red}} was the color of royalty among the Incas.	{{Blue}} was the color of royalty among the Incas.	0	0
The {{two teams played under the rules of rugby}}.	The {{two teams competed following the regulations of rugby}}.	1	1
{{These strategies use}} reporter transposons and in vitro expression technology.	{{These techniques utilize}} reporter transposons and in vitro expression technology.	1	1
The {{Theodore H. Rowell graduate fellowship}} was set up after {{Ted's death}}.	The {{Nicolaus Copernicus graduate fellowship}} was set up after {{the passing of Ted}}.	0,1	0
Do not be {{stupid}}.	Do not be {{foolish}}.	1	1
This is {{not a bad idea}}.	This is {{a good idea}}.	1	1
He was made {{Commander of British Troops in South China}} in 1913.	He was made {{Leader of British Forces in Southern China}} in 1913.	1	1
The {{turkey}} and roast beef {{were bland}}.	The {{chicken}} and roast beef {{were tasteless}}.	0,1	0
The Naval Postgraduate School, Monterey CA, demonstrated such {{wireless mesh networks for border security}}.	The Naval Postgraduate School, Monterey CA, demonstrated such {{networks using wireless mesh technology for border security}}.	1	1
{{This place}} is good.	{{this spot}} is good.	1	1
The buildings are {{owned by the council}}.	The buildings are {{property of the council}}.	1	1
In the Sandhills, this was {{not enough land to support}} a family.	In the Sandhills, this was {{insufficient land to sustain}} a family.	1	1
Birmingham {{has the lowest section of rail commuters}} in England {{inside London}}.	Birmingham {{boasts the smallest segment of rail commuters}} in England {{within London}}.	1,1	1
A {{cost-effective zero energy building}} often includes {{passive solar building design}}.	A {{cost-prohibitive energy-consuming building}} often includes {{active solar building design}}.	0,0	0
Senior Justice Department officials were {{not asked for information}}.	Senior Justice Department officials were {{completely informed}}.	0	0
Johnson has organized summits and large-scale projects around topics such as {{Visual literacy}}.	Johnson has organized summits and large-scale projects around topics such as {{Digital illiteracy}}.	0	0
The drum-type altimeter {{fitted to the aircraft}}, was famously easy for pilots to read.	The drum-type altimeter {{installed on the aircraft}}, was famously easy for pilots to read.	1	1
It wasn't {{an inexpensive piece}}, but I would still have expected {{better quality}}.	It wasn't {{a cheap item}}, but I would still have expected {{higher quality}}.	1,1	1
It's {{quite similar to the other}}.	It's {{not different from the other}}.	1	1
The film also {{toured venues}} in Northumberland, England in July 2012.	The film also {{screened in theaters}} in Northumberland, England in July 2012.	1	1
The {{African long fin eel}} is {{found in the water}}.	The {{elongated African fin eel}} is {{located in aquatic environments}}.	1,1	1
In 2007, {{Goldsmith was elected a Fellow of the American Academy of Arts and Sciences}}.	In 2007, {{Goldsmith received the honor of becoming a Fellow of the American Academy of Arts and Sciences}}.	1	1
At the federal level, Arlington is part of {{Washington's 2nd congressional district}}.	At the federal level, Arlington is part of {{Washington's second congressional district}}.	1	1
{{Irrigation}} was unable to {{ever consume the entire surface flow}} of the river below San Gabriel Canyon.	{{Watering the crops}} was unable to {{fully utilize the surface flow}} of the river below San Gabriel Canyon.	1,1	1
We had so much to say about the place that he was expecting it to be {{amazing}}, but was quickly disappointed.	We had so much to say about the place that he was expecting it to be {{awe-inspiring}}, but was quickly disappointed.	1	1
{{Under the confined and crowded space}}, cage homes always have {{healthy ventilation systems}}.	{{In the cramped and congested conditions}}, cage homes always have {{inadequate ventilation systems}}.	1,0	0
Around 1903, {{Hunter Island}} became a popular {{summer vacation destination}}.	Around 1903, {{Crescent Isle}} became a popular {{winter retreat}}.	0,0	0
It {{failed to convey}} the broad sweep of landscapes that were a great part of the original.	It {{did not convey}} the broad sweep of landscapes that were a great part of the original.	1	1
In 1977 {{he played for the Billikens}}.	In 1977 {{he played against the Billikens}}.	0	0
The {{NSE}} emerged as {{India's largest exchange}} by 1996.	The {{NSA}} emerged as {{one of the prominent exchanges in India}} by 1996.	0,1	0
It has been again a {{Grade I}} historic building since {{1990}}.	It has been again a {{Grade IV}} historic building since {{the beginning of the nineties}}.	0,1	0
They were {{adamant he attend university}} and {{study nuclear physics}}.	They were {{insistent on his pursuing university education}} and {{specializing in nuclear physics}}.	1,1	1
The {{hardwoods and hemlocks}} act like {{a deterrent}} and {{are bad for the creek itself}}.	The {{dense forests of hardwoods and hemlocks}} act like {{a barrier}} and {{negatively impact the health of the creek itself}}.	1,1,1	1
It is found {{on Cuba and Puerto Rico}}.	It is found {{nowhere near Cuba and Puerto Rico}}.	0	0
It {{does look good}}.	It {{looks good}}.	1	1
In {{the US it is failed to be utilized for range revegetation}}.	In {{the US, it has not been effectively used for range revegetation}}.	1	1
A velodrome {{in the city}} played host to the {{track cycling events}}.	A velodrome {{within the urban area}} played host to the {{events of track cycling}}.	1,1	1
This directs all of the {{energy into the earth}} where it is {{concentrated into a point}}.	This directs all of the {{energy into the ground}} where it is {{focused into a point}}.	1,1	1
The researchers' theory was that {{right-lateral displacement on the SAF}} {{had damaged}} their root systems.	The researchers' theory was that {{movement to the right on the SAF}} {{had harmed}} their root systems.	1,1	1
Migrant students {{generally have much higher standardized test scores than the district or state-wide average}}.	Migrant students {{typically achieve scores on standardized tests significantly above the district or statewide average}}.	1	1
Other attacks, such as {{theft of private keys}}, {{do not require due care by users}}.	Other attacks, such as {{data breaches}}, {{require attention by users}}.	0,0	0
{{MANNA FROM HEAVEN}} is a terrific film that {{is both predictable and unpredictable at the same time}}.	{{MANNA FROM HELL}} is a terrific film that {{is both anticipated and unexpected simultaneously}}.	0,1	0
Ocean Ride local service is provided on the OC5 Lacey {{route}}.	Ocean Ride local service is provided on the OC5 Lacey {{path}}.	1	1
St Albans Abbey station is {{an en-route station}} of {{a double-track line}} from Watford Junction station.	St Albans Abbey station is {{a station along the route}} of {{a dual-track line}} from Watford Junction station.	1,1	1
John Smith is the {{Baron of Inverglen}}.	John Smith is the {{Baron of Evergreen}}.	1	1
There is {{an office, dairy, and family cemetery on the property}}.	There is {{no office, no dairy, and no family cemetery on the property}}.	0	0
{{Julia Tutwiler Prison for Women}} holds the {{female death row}}.	{{Alcatraz}} holds the {{male death row}}.	0,0	0
Thank you for {{wasting my money}}.	Thank you for {{misusing my funds}}.	1	1
The reservation {{stretches from Lake Erie}} inward along Cattaraugus Creek.	The reservation {{extends from Lake Erie}} inward along Cattaraugus Creek.	1	1
There is {{controversy over community land grant claims}} in New Mexico.	There is {{agreement on community land grant claims}} in New Mexico.	0	0
It included a database of information on {{state and federal courts and judges}}.	It included a database of information on {{courts and judges at both state and federal levels}}.	1	1
In winter, {{cormorants roost on the island with their numbers reaching nationally important levels}}.	In winter, {{cormorants avoid the island with their numbers remaining at insignificant levels}}.	0	0
On {{February 29, 2008}} the {{Supreme Court of Virginia}} {{rejected his conviction}}.	On {{January 29, 2008}} the {{highest court in Virginia}} {{overturned his conviction}}.	0,1,1	0
It {{occurs in a number of countries}}, including Ethiopia, the Democratic Republic of the Congo, and South Africa.	It {{takes place in several countries}}, including Ethiopia, the Democratic Republic of the Congo, and South Africa.	1	1
It lies {{on the border of Sherman and Sullivan Townships}}.	It lies {{nowhere near the border of Sherman and Sullivan Townships}}.	0	0
The surrounding areas produce {{wheat and other cereal crops, but none are organic or GMO}}.	The surrounding areas produce {{organic and GMO-free wheat and other cereal crops}}.	0	0
The US is a {{major importer}} of gold.	The US is a {{minor exporter}} of gold.	0	0
The change {{was due to}} {{Lehigh County wide property reassessment done in 2012}}.	The change {{resulted from}} {{a comprehensive property reassessment in Lehigh County in 2012}}.	0,1	0
It is just very {{clean}} when {{burned}}.	It is just very {{dirty}} when {{incinerated}}.	0,1	0
On {{October 24, 2014}}, Chigasaki agreed with Honolulu to establish the {{sister city relationship}}.	On {{the 24th of October, 2014}}, Chigasaki agreed with Honolulu to establish the {{sister city bond}}.	1,1	1
It is {{the oldest auto repair garage still in operation in the city}}.	It is {{the longest-standing car repair shop still functioning in the city}}.	1	1
It {{was underwritten}} by the {{Parker Hannifin Corporation}}.	It {{was financially supported}} by the {{Hopkins Smith Corporation}}.	1,0	0
The accident was later {{attributed to improper design}} and poor construction practices.	The accident was later {{blamed on inadequate design}} and poor construction practices.	1	1
This was read by {{scientists all over the world}}, and it stoked their imagination.	This was read by {{children all over the world}}, and it stoked their imagination.	0	0
The species is named in honor of the marriage of {{Sara Anderson and Malcolm Slaney}}.	The species is named in honor of the marriage of {{Malcolm Slaney and Sara Anderson}}.	1	1
Oh, this is {{not good}}.	Oh, this is {{quite bad}}.	1	1
Hazi Badirudddin Ahmad and Syama Prasad Barman, both of Congress, {{lost terribly}} from Raiganj in 1957.	Hazi Badirudddin Ahmad and Syama Prasad Barman, both of Congress, {{were defeated decisively}} from Raiganj in 1957.	1	1
Broadband penetration outside of South Africa has been {{limited where it is exorbitantly expensive}}.	Broadband penetration outside of South Africa has been {{widespread where it is affordably priced}}.	0	0
The United States {{imported a raw form}} of the drug.	The United States {{exported a refined form}} of the drug.	0	0
This was {{a Recommendation Paper at the OGC in 2000}}.	This was {{an Endorsement Document at the OGC in 2000}}.	1	1
It is known from {{woodland and savanna from west Africa to Uganda}}.	It is known from {{arctic tundra and desert from east Africa to Uganda}}.	0	0
Bethune would later express {{satisfaction about the riot}} and urged citizens {{to use full force}}.	Bethune would later express {{dissatisfaction about the riot}} and urged citizens {{to exercise full force}}.	0,1	0
It is found {{nowhere}} near Buru of Indonesia.	It is found {{everywhere}} near Buru of Indonesia.	0	0
Protester attacks at the Parliament were {{unable}} to cause the {{dissolution}} of the government.	Protester attacks at the Parliament were {{able}} to cause the {{disintegration}} of the government.	0,1	0
Its {{main goals}} are in improving the efficiency, transparency.	Its {{secondary objectives}} are in improving the efficiency, transparency.	0	0
This page {{completely ignores the sub-classes of Class U}}.	This page {{entirely disregards sub-categories within Class U}}.	1	1
Cerambycines are {{not observed worldwide, especially scarcely distributed in the Americas}}, especially the neotropical regions.	Cerambycines are {{widely observed worldwide, particularly abundant in the Americas}}, especially the neotropical regions.	0	0
Omaha Public Power District (OPPD) is one of {{the town's}} largest purchasers of {{wind energy}}.	Omaha Public Power District (OPPD) is one of {{the state's}} largest purchasers of {{solar energy}}.	0,0	0
All approved NRTIs {{have resistance genes}}.	All approved NRTIs {{lack resistance genes}}.	0	0
Examples of this would be the effects of {{certain medications or toxic levels of substances}}.	Examples of this would be the effects of {{healthy habits or safe levels of substances}}.	0	0
Coeliac disease {{was first described in old age}}.	Coeliac disease {{was first described in youth}}.	0	0
The {{European Union}} is currently undergoing {{a similar}} mandated removal of installed Halon systems.	The {{EU}} is currently undergoing {{a different}} mandated removal of installed Halon systems.	1,0	0
That {{is safe}}.	That {{is dangerous}}.	0	0
However, there is {{a hard tonnage cap on capital ships operated by Black Sea Powers}}.	However, there is {{a strict weight limit on capital ships utilized by Black Sea Powers}}.	1	1
Bulgaria {{scores low}} in terms of {{innovation, competitiveness, and high-value added exports}}.	Bulgaria {{ranks high}} in terms of {{stagnation, non-competitiveness, and low-value added imports}}.	0,0	0
The {{Smith's Pharmacy}} was purchased from the {{Eckerd Corporation}} in 1999.	The {{Jones Drugstore}} was purchased from the {{Walgreens Corporation}} in 1999.	0,0	0
Its {{main goals are in improving the efficiency, transparency}}.	Its {{primary objectives revolve around enhancing efficiency and promoting transparency}}.	1	1
Other delta opioid-targeting drugs are {{known to cause seizures}}.	Other delta opioid-targeting drugs are {{unlikely to cause seizures}}.	1	1
The {{freedom from the wireless}} is very {{helpful}} as I have always used {{corded headsets}}.	The {{restriction of the wired connection}} is very {{useful}} as I have always used {{wireless headsets}}.	0,1,0	0
Anorexia, vomiting, and abdominal pain {{are some of the signs}}.	Anorexia, vomiting, and abdominal pain {{are not typical signs}}.	0	0
Ocean Ride local service is provided on the {{OC9 Long Beach Island}} route.	Ocean Ride local service is provided on the {{OE5 Long Beach Island}} route.	0	0
The {{chicken dishes aren't OK, the beef is like shoe leather}}.	The {{chicken dishes are excellent, and the beef is tender}}.	0	0
This enhancement was missing a new {{dispatch booth}} or improved signage in the station.	This enhancement was missing a new {{resting area}} or improved signage in the station.	0	0
I started this review with {{two stars}}, but I'm editing it to give it only {{one}}.	I started this review with {{a low rating}}, but I'm editing it to give it only {{a single star}}.	1,1	1
They're {{not replaceable}}.	They're {{easily replaceable}}.	0	0
{{For his fiscal policies}}, Romney received {{a C}} in 2004.	{{Against his fiscal policies}}, Romney received {{an A}} in 2004.	0,0	0
In {{Jamboni CD Block}} 67.11% families were living {{below poverty line}} in 2007.	In {{Sydney CD Block}} 67.11% families were living {{above poverty line}} in 2007.	0,0	0
Six other dams failed that day, {{four were small and two were minor in size}}.	Six other dams failed that day, {{two were small and four were major in size}}.	0	0
A multi-block window is created using a {{design tool}}.	A multi-block window is created using a {{construction device}}.	0	0
It {{is part of the Lincoln National Park}}.	It {{lies outside the boundaries of the Lincoln National Park}}.	0	0
Turkey, Argentina, the United States, and South Africa {{are the top producers of mohair}}.	Turkey, Argentina, the United States, and South Africa {{dominate the mohair production industry}}.	1	1
The tenth and final chapter describes practical geometry (including basic trigonometry) {{in 151 pages}}.	The tenth and final chapter describes practical geometry (including basic trigonometry) {{in a few pages}}.	0	0
I can't say {{enough good things}} about this place.	I can't say {{too many positive things}} about this place.	1	1
I tried to give them a try but {{was disappointed}}.	I tried to give them a try but {{was let down}}.	1	1
Superliners began operating with {{the Coast Starlight}} in {{January}} 1981.	Superliners began operating with {{the Empire Builder}} in {{February}} 1981.	0,0	0
You have to {{understand}}, it's {{easy for us}}.	You have to {{comprehend}}, it's {{difficult for us}}.	1,0	0
Martinez started painting {{at age eight}}.	Martinez started painting {{at age nine}}.	0	0
It will make you feel {{like 50 cent's up-and-coming}}.	It will make you feel {{far from 50 cent's success}}.	0	0
Bat Ye'Or {{sits on the Board of Advisors}} of the International Free Press Society.	Bat Ye'Or {{is a member of the Advisory Board}} of the International Free Press Society.	1	1
Below is a table of {{Myers's yearly records}} as a {{collegiate junior baseball team member}}.	Below is a table of {{Myers's annual statistics}} as a {{member of the college junior baseball team}}.	1,1	1
Sonnets were also written in {{Urdu}}.	Sonnets were also written in {{Japanese}}.	0	0
At some dirt courts {{located inside the stadium}}, {{the tennis}} events took place.	At some dirt courts {{situated outside the stadium}}, {{the football}} events took place.	0,0	0
The Burtis Opera House {{was opened}} in Davenport in 1867 at {{415 Perry Street}}.	The Burtis Opera House {{was established}} in Davenport in 1867 at {{411 Perry Street}}.	1,0	0
This is {{one of the best horror movies}} {{of all time}}.	This is {{one of the worst romantic movies}} {{ever}}.	0,1	0
The {{students}} are at {{King High School}}.	The {{professors}} are at {{Queen High School}}.	0,0	0
{{It has a W10}} loading gauge but W9 rolling stock is {{excluded}}.	{{It has a W20}} loading gauge but W9 rolling stock is {{not included}}.	0,1	0
Recent discoveries are claimed to support {{a thermoregulatory function, at least in smaller dinosaurs}}.	Recent discoveries are claimed to support {{temperature regulation, especially in smaller dinosaurs}}.	1	1
Natural gas service in Ephrata is {{not granted}} by UGI Utilities.	Natural gas service in Ephrata is {{not provided}} by UGI Utilities.	1	1
It took an hour to get our food in the restaurant, our {{server}} was {{running around like he was overwhelmed}}.	It took an hour to get our food in the restaurant, our {{waiter}} was {{strolling casually like he was in control}}.	1,0	0
In 2017 the largest employment sectors {{in the Midlands region were}}.	In 2017 the largest employment sectors {{outside the Midlands region were}}.	0	0
The jury award was {{upheld by the court}}.	The jury award was {{overturned by the court}}.	0	0
This would make it {{possible for Ontarians}} to make {{an informed decision}}.	This would make it {{feasible for residents of Ontario}} to make {{a well-informed decision}}.	1,1	1
This was {{in spite of}} the headstones being cut by local German stonecutters.	This was {{despite}} the headstones being cut by local German stonecutters.	1	1
The faceplates look {{very nice and elegant}}.	The faceplates look {{rather plain and ordinary}}.	0	0
Typically states have {{raised or eliminated their aggregate limits before they were reached}}.	Typically states have {{increased or removed their overall restrictions before reaching them}}.	1	1
There are {{tie-ups}} with other universities in Australia.	There are {{collaborations}} with other universities in Australia.	1	1
No {{casualties were recorded despite the destruction of the ship}}.	No {{fatalities were documented despite the ship's destruction}}.	1	1
In Australia, all states and territories {{have outlawed FGM}}.	In Australia, all states and territories {{allow FGM}}.	0	0
It is {{outside of the civil parish of Deviock}}.	It is {{beyond the civil parish of Deviock}}.	1	1
In agitated patients or those with suicidal thoughts {{additive sedative/anxiolytic treatment is usually indicated}}.	In agitated patients or those with suicidal thoughts {{non-pharmacological treatment is usually indicated}}.	0	0
It is {{not utilized}} against cockroaches, beetles, or moths.	It is {{unused}} against cockroaches, beetles, or moths.	1	1
